DateTime,BasicIncidentType,BasicPropertyUse,CivilianCasualtySeverity,CauseOfInjury,HumanFactorsContributingToInjury,ActivityWhenInjured,AreaOfFireOrigin,CauseOfIgnition,DetectorPresence,FireJurisdictionBoundaries,CivilianCasualtyCount
7/20/23 13:10,132 - Road freight or transport vehicle fire,961 - Highway or divided highway,Minor,1 - Exposed to fire products,None,"Activity, other","Engine area, running gear, wheel area",Unintentional,1 - Present,Illinois Valley RFPD,1
7/22/23 23:32,111 - Building fire,"449 - Hotel/motel, commercial",Minor,2 - Exposed to hazardous materials or toxic fumes other than smoke,None,Undetermined,"Service facilities, other",Failure of equipment or heat source,N - None present,Salem Fire Department,1
7/25/23 15:09,111 - Building fire,"919 - Dump, sanitary landfill",Minor,N - Not Reported,Not Reported,Not Reported,"Chute/container - trash, rubbish, waste",Unintentional,N - Not Reported,Tualatin Valley Fire & Rescue,1
7/31/23 11:43,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Undetermined,1 - Exposed to fire products,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,N - None present,Clackamas Fire District #1,1
8/3/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
8/4/23 9:48,1120 - Tent Fire/Undersheltered,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,None,Irrational act,Bedroom - < 5 persons; included are jail or prison,Intentional,1 - Present,Portland Fire & Rescue,1
8/5/23 1:41,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,1 - Exposed to fire products,None,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Clackamas Fire District #1,1
8/5/23 1:41,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Possibly mentally disabled,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Clackamas Fire District #1,1
8/6/23 3:34,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Undetermined,Undetermined,Cause under investigation,1 - Present,Scappoose Fire District #31,1
8/6/23 3:34,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Undetermined,Undetermined,Cause under investigation,1 - Present,Scappoose Fire District #31,1
8/6/23 3:34,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,None,Undetermined,Undetermined,Cause under investigation,U - Undetermined,Scappoose Fire District #31,1
8/7/23 10:30,111 - Building fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Outside area, other",Unintentional,U - Undetermined,Tualatin Valley Fire & Rescue,1
8/7/23 10:30,111 - Building fire,419 - 1 or 2 family dwelling,Severe,N - Not Reported,"Asleep, no known impairment",Returning to vicinity of fire before control of fire,"Outside area, other",Unintentional,N - None present,Tualatin Valley Fire & Rescue,1
8/10/23 3:23,111 - Building fire,"600 - Ind., utility, defense, agriculture, mining, other",Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Shipping/receiving area; loading area, dock or bay",Unintentional,N - None present,Tangent RFPD,1
8/10/23 3:23,111 - Building fire,"600 - Ind., utility, defense, agriculture, mining, other",Minor,N - Not Reported,Not Reported,Not Reported,"Shipping/receiving area; loading area, dock or bay",Unintentional,N - Not Reported,Tangent RFPD,1
8/10/23 9:26,111 - Building fire,808 - Outbuilding or shed,Minor,1 - Exposed to fire products,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Westport-Wauna RFPD,1
8/11/23 16:38,162 - Outside equipment fire,"580 - General retail, other",Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Highway, parking lot, street: on or near",Intentional,1 - Present,Portland Fire & Rescue,1
8/13/23 16:54,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Fire control,Wall surface: exterior,Unintentional,1 - Present,Medford Fire Department,1
8/13/23 18:31,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Unable to act,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Redmond Fire & Rescue,1
8/14/23 8:56,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,N - Not Reported,No District,1
8/17/23 14:14,132 - Road freight or transport vehicle fire,961 - Highway or divided highway,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Fuel tank, fuel line",Unintentional,N - Not Reported,No District,1
8/19/23 15:52,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,Not Reported,Not Reported,N - None present,Hillsboro Fire & Rescue,1
8/21/23 15:42,112 - Fires in structure other than in a building,984 - Industrial plant yard - area,Severe,1 - Exposed to fire products,None,Fire control,Other area of fire origin,Unintentional,N - None present,Coquille RFPD,1
8/21/23 15:42,112 - Fires in structure other than in a building,984 - Industrial plant yard - area,Minor,1 - Exposed to fire products,None,Fire control,Other area of fire origin,Unintentional,N - None present,Coquille RFPD,1
8/21/23 19:19,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Fire control,"Cooking area, kitchen",Unintentional,1 - Present,Keizer Fire District,1
8/27/23 2:43,111 - Building fire,429 - Multifamily dwelling,Fatality,1 - Exposed to fire products,None,Undetermined,"Bathroom, checkroom, lavatory, locker room",Unintentional,1 - Present,Portland Fire & Rescue,1
8/27/23 7:53,111 - Building fire,429 - Multifamily dwelling,Life threatening,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Cooking area, kitchen",Cause under investigation,N - Not Reported,Marion County Fire District No.1,1
8/30/23 12:05,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Operator/passenger area of transportation equipment,Unintentional,N - None present,Portland Fire & Rescue,1
9/4/23 17:52,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,"Common room, den, family room, living room, lounge",Unintentional,U - Undetermined,Salem Fire Department,1
9/5/23 13:45,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Failure of equipment or heat source,N - Not Reported,Umatilla County Fire District 1,1
9/7/23 14:59,"122 - Fire in motor home, camper, recreational vehicle",938 - Graded and cared-for plots of land,Minor,1 - Exposed to fire products,None,Sleeping,"Cooking area, kitchen",Unintentional,N - Not Reported,Salem Fire Department,1
9/8/23 22:45,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Not Reported,Not Reported,N - None present,Nedonna RFD,1
9/14/23 3:33,131 - Passenger vehicle fire,"960 - Street, other",Fatality,N - Not Reported,Not Reported,Undetermined,Undetermined,Unintentional,N - Not Reported,Aurora RFPD,1
9/14/23 12:20,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Exterior balcony, unenclosed porch",Unintentional,N - None present,Tualatin Valley Fire & Rescue,1
9/16/23 11:51,132 - Road freight or transport vehicle fire,961 - Highway or divided highway,Fatality,U - Undetermined,Not Reported,Unable to act,Undetermined,Cause undetermined after investigation,U - Undetermined,La Grande RFPD,1
9/16/23 16:32,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Physically disabled,Not Reported,"Common room, den, family room, living room, lounge",Intentional,N - Not Reported,North Lincoln Fire & Rescue District #1,1
9/18/23 7:25,131 - Passenger vehicle fire,"960 - Street, other",Life threatening,U - Undetermined,Unconscious,Undetermined,"Vehicle area, other",Unintentional,U - Undetermined,Salem Fire Department,1
9/20/23 18:14,111 - Building fire,429 - Multifamily dwelling,Life threatening,1 - Exposed to fire products,Not Reported,Undetermined,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Eugene Springfield Fire,1
9/26/23 16:35,111 - Building fire,"439 - Boarding/rooming house, residential hotels",Minor,1 - Exposed to fire products,Possibly mentally disabled,Fire control,"Bathroom, checkroom, lavatory, locker room",Failure of equipment or heat source,1 - Present,Portland Fire & Rescue,1
9/28/23 19:56,132 - Road freight or transport vehicle fire,961 - Highway or divided highway,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Pendleton Fire & Ambulance Department,1
10/1/23 1:29,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Closet,Unintentional,1 - Present,Medford Fire Department,1
10/1/23 1:29,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,Closet,Unintentional,1 - Present,Medford Fire Department,1
10/3/23 11:55,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Fatality,U - Undetermined,None,Undetermined,Other area of fire origin,Unintentional,1 - Present,Clatskanie RFPD,1
10/4/23 0:43,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,None,Returning to vicinity of fire before control of fire,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Lebanon Fire District,1
10/4/23 11:27,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Dining room, cafeteria, bar area, beverage service",Unintentional,N - Not Reported,Clackamas Fire District #1,1
10/6/23 10:51,"160 - Special outside fire, other",419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Intentional,N - Not Reported,Portland Fire & Rescue,1
10/9/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Reedsport Fire Department,1
10/12/23 19:26,322 - Motor vehicle accident with injuries,961 - Highway or divided highway,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Redmond Fire & Rescue,1
10/12/23 19:26,322 - Motor vehicle accident with injuries,961 - Highway or divided highway,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Redmond Fire & Rescue,1
10/12/23 19:26,322 - Motor vehicle accident with injuries,961 - Highway or divided highway,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Redmond Fire & Rescue,1
10/13/23 10:10,1120 - Tent Fire/Undersheltered,"960 - Street, other",Fatality,1 - Exposed to fire products,Not Reported,Not Reported,"Wildland, woods",Cause undetermined after investigation,N - None present,No District,1
10/15/23 6:44,111 - Building fire,"400 - Residential, other",Fatality,N - Not Reported,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Failure of equipment or heat source,1 - Present,Burns Fire Department,1
10/16/23 2:12,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,"0 - Cause of injury, other","Asleep, no known impairment",Fire control,"Exterior balcony, unenclosed porch",Unintentional,1 - Present,Portland Fire & Rescue,1
10/17/23 2:57,111 - Building fire,429 - Multifamily dwelling,Minor,N - Not Reported,Not Reported,Not Reported,"Heating room or area, water heater area",Unintentional,1 - Present,Umatilla County Fire District 1,1
10/19/23 20:32,111 - Building fire,419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,Physically restrained,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Portland Fire & Rescue,1
10/20/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
10/23/23 8:55,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Possibly mentally disabled,Returning to vicinity of fire before control of fire,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Portland Fire & Rescue,1
10/23/23 8:55,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,Fire control,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,N - Not Reported,Portland Fire & Rescue,1
10/26/23 7:58,322 - Motor vehicle accident with injuries,961 - Highway or divided highway,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Molalla RFPD #73,1
10/27/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
10/31/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
11/2/23 16:20,"100 - Fire, other","900 - Outside or special property, other",Life threatening,1 - Exposed to fire products,None,Escaping,"Highway, parking lot, street: on or near",Cause under investigation,N - Not Reported,Ontario RFPD,1
11/2/23 21:18,"113 - Cooking fire, confined to container",429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,"Activity, other",Not Reported,Not Reported,N - Not Reported,Albany Fire Department,1
11/5/23 8:53,131 - Passenger vehicle fire,965 - Vehicle parking area,Severe,1 - Exposed to fire products,"Possibly impaired by other drug or chemical,Possibly mentally disabled",Not Reported,Operator/passenger area of transportation equipment,Unintentional,N - Not Reported,Eugene Springfield Fire,1
11/5/23 8:53,131 - Passenger vehicle fire,965 - Vehicle parking area,Severe,1 - Exposed to fire products,"Possibly impaired by other drug or chemical,Possibly mentally disabled",Escaping,Operator/passenger area of transportation equipment,Unintentional,1 - Present,Eugene Springfield Fire,1
11/6/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
11/6/23 14:30,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Fire control,"Function areas, other",Intentional,N - Not Reported,Portland Fire & Rescue,1
11/7/23 21:37,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Undetermined,Cause under investigation,U - Undetermined,Pendleton Fire & Ambulance Department,1
11/9/23 15:26,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,Not Reported,Not Reported,N - None present,Sweet Home Fire & Ambulance District,1
11/12/23 16:40,1120 - Tent Fire/Undersheltered,"900 - Outside or special property, other",Moderate,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Structural area, other",Cause undetermined after investigation,N - Not Reported,Portland Fire & Rescue,1
11/15/23 0:19,"160 - Special outside fire, other","962 - Residential street, road or residential driveway",Moderate,1 - Exposed to fire products,None,Irrational act,"Highway, parking lot, street: on or near",Intentional,N - Not Reported,Portland Fire & Rescue,1
11/17/23 9:10,"100 - Fire, other","962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Highway, parking lot, street: on or near",Unintentional,N - Not Reported,Portland Fire & Rescue,1
11/21/23 4:35,"100 - Fire, other","962 - Residential street, road or residential driveway",Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,Operator/passenger area of transportation equipment,Unintentional,N - None present,Portland Fire & Rescue,1
11/27/23 1:22,111 - Building fire,"881 - Parking garage, (detached residential garage)",Minor,"0 - Cause of injury, other",Possibly impaired by other drug or chemical,Undetermined,"Vehicle storage area; garage, carport",Cause undetermined after investigation,N - Not Reported,Salem Fire Department,1
11/27/23 12:21,131 - Passenger vehicle fire,961 - Highway or divided highway,Life threatening,1 - Exposed to fire products,None,Not Reported,Operator/passenger area of transportation equipment,Unintentional,N - None present,John Day RFD,1
11/28/23 12:01,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,"Asleep, no known impairment",Fire control,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Milton-Freewater Fire Department,1
11/28/23 20:52,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Lebanon Fire District,1
11/29/23 3:27,"321 - EMS call, excluding vehicle accident with injury",419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Klamath County Fire District No. 1,1
11/29/23 10:51,111 - Building fire,419 - 1 or 2 family dwelling,Undetermined,1 - Exposed to fire products,None,Undetermined,"Bathroom, checkroom, lavatory, locker room",Intentional,U - Undetermined,Portland Fire & Rescue,1
12/5/23 11:54,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,U - Undetermined,Irrigon RFPD,1
12/5/23 11:54,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Irrigon RFPD,1
12/7/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
12/7/23 20:03,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,"Activity, other","Cooking area, kitchen",Unintentional,U - Undetermined,Salem Fire Department,1
12/11/23 8:39,121 - Fire in mobile home used as fixed residence,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Escaping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,AURORA RFPD,1
12/11/23 15:01,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Physically disabled,Unable to act,"Vehicle storage area; garage, carport",Cause undetermined after investigation,1 - Present,Stayton Fire District,1
12/18/23 5:00,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,1 - Exposed to fire products,"Asleep, no known impairment,Physically disabled",Sleeping,"Function areas, other",Cause under investigation,N - Not Reported,Albany Fire District,1
12/19/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
12/19/23 1:45,"140 - Natural vegetation fire, other","900 - Outside or special property, other",Severe,1 - Exposed to fire products,None,Escaping,"Highway, parking lot, street: on or near",Cause undetermined after investigation,N - None present,Portland Fire & Rescue,1
12/24/23 10:35,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Cause undetermined after investigation,N - None present,Gresham Fire Department,1
12/25/23 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
12/26/23 23:00,1120 - Tent Fire/Undersheltered,"900 - Outside or special property, other",Moderate,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other",Bedroom - < 5 persons; included are jail or prison,Unintentional,N - None present,Portland Fire & Rescue,1
12/28/23 1:46,"122 - Fire in motor home, camper, recreational vehicle",935 - Campsite with utilities,Fatality,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Function areas, other",Unintentional,N - Not Reported,Brookings Fire & Rescue,1
1/1/24 16:04,"160 - Special outside fire, other",419 - 1 or 2 family dwelling,Severe,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Open area, outside; included are farmland, field",Cause undetermined after investigation,N - Not Reported,Portland Fire & Rescue,1
1/5/24 2:55,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Wall assembly, concealed wall space",Unintentional,1 - Present,Clackamas Fire District #1,1
1/5/24 14:17,111 - Building fire,808 - Outbuilding or shed,Minor,1 - Exposed to fire products,None,Escaping,Storage: supplies or tools; dead storage,Cause undetermined after investigation,N - None present,Stayton Fire District,1
1/6/24 9:32,121 - Fire in mobile home used as fixed residence,"400 - Residential, other",Life threatening,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,Operator/passenger area of transportation equipment,Failure of equipment or heat source,N - None present,North Douglas County Fire & EMS,1
1/6/24 20:21,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Unintentional,N - None present,Lebanon Fire District,1
1/9/24 14:26,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Fire control,Storage: supplies or tools; dead storage,Not Reported,N - Not Reported,Hillsboro Fire & Rescue,1
1/12/24 14:02,111 - Building fire,429 - Multifamily dwelling,Minor,1 - Exposed to fire products,None,Undetermined,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Coos Bay Fire & Rescue,1
1/13/24 12:04,111 - Building fire,429 - Multifamily dwelling,Life threatening,1 - Exposed to fire products,Not Reported,Not Reported,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Clackamas Fire District #1,1
1/13/24 14:39,"122 - Fire in motor home, camper, recreational vehicle","962 - Residential street, road or residential driveway",Fatality,7 - Struck by or contact with object,Possibly mentally disabled,"Activity, other","Highway, parking lot, street: on or near",Act of nature,N - None present,Portland Fire & Rescue,1
1/14/24 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Portland Fire & Rescue,1
1/14/24 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Portland Fire & Rescue,1
1/15/24 0:00,NNN - Not Reported,U - Unknown,Fatality,1 - Exposed to fire products,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,South Lane County Fire & Rescue,1
1/15/24 0:58,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,None,Irrational act,"Heating room or area, water heater area",Unintentional,1 - Present,Portland Fire & Rescue,1
1/19/24 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
1/21/24 16:29,111 - Building fire,419 - 1 or 2 family dwelling,Minor,1 - Exposed to fire products,Not Reported,Not Reported,"Substructure area or space, crawl space",Unintentional,1 - Present,Jackson County Fire District #3,1
1/30/24 13:05,"321 - EMS call, excluding vehicle accident with injury",124 - Playground,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Tualatin Valley Fire & Rescue,1
2/2/24 15:33,131 - Passenger vehicle fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Possibly mentally disabled,"Activity, other","Fuel tank, fuel line",Unintentional,N - Not Reported,Portland Fire & Rescue,1
2/9/24 23:53,111 - Building fire,419 - 1 or 2 family dwelling,Life threatening,N - Not Reported,"Asleep, no known impairment,Possibly impaired by alcohol,Possibly impaired by other drug or chemical",Sleeping,Bedroom - < 5 persons; included are jail or prison,Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
2/10/24 23:13,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Fatality,1 - Exposed to fire products,Possibly mentally disabled,Undetermined,"Vehicle area, other","Cause, other (System generated code only, not used for data entry)",N - Not Reported,Portland Fire & Rescue,1
2/10/24 23:13,131 - Passenger vehicle fire,"962 - Residential street, road or residential driveway",Fatality,U - Undetermined,Possibly mentally disabled,Undetermined,"Vehicle area, other","Cause, other (System generated code only, not used for data entry)",N - Not Reported,Portland Fire & Rescue,1
2/11/24 17:16,111 - Building fire,429 - Multifamily dwelling,Minor,"4 - Fell, slipped, or tripped",Not Reported,Not Reported,"Cooking area, kitchen",Unintentional,1 - Present,Umatilla County Fire District 1,1
2/12/24 13:36,131 - Passenger vehicle fire,984 - Industrial plant yard - area,Minor,"4 - Fell, slipped, or tripped",Not Reported,Not Reported,"Engine area, running gear, wheel area",Cause under investigation,N - Not Reported,Umatilla County Fire District 1,1
2/12/24 14:05,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,N - Not Reported,Not Reported,Undetermined,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,U - Undetermined,Tualatin Valley Fire & Rescue,1
2/12/24 14:05,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Escaping,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,U - Undetermined,Tualatin Valley Fire & Rescue,1
2/12/24 14:05,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,U - Undetermined,Tualatin Valley Fire & Rescue,1
2/12/24 14:05,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,U - Undetermined,Tualatin Valley Fire & Rescue,1
2/12/24 14:05,111 - Building fire,419 - 1 or 2 family dwelling,Minor,N - Not Reported,Not Reported,Rescue attempt,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,U - Undetermined,Tualatin Valley Fire & Rescue,1
2/15/24 20:08,111 - Building fire,419 - 1 or 2 family dwelling,Moderate,1 - Exposed to fire products,Not Reported,Not Reported,"Vehicle storage area; garage, carport",Unintentional,1 - Present,Tualatin Valley Fire & Rescue,1
2/15/24 20:31,137 - Camper or recreational vehicle (RV) fire,"960 - Street, other",Moderate,1 - Exposed to fire products,None,Escaping,Operator/passenger area of transportation equipment,Failure of equipment or heat source,N - Not Reported,Salem Fire Department,1
2/17/24 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,No District,1
2/23/24 0:38,121 - Fire in mobile home used as fixed residence,"400 - Residential, other",Minor,1 - Exposed to fire products,"Asleep, no known impairment",Escaping,"Switchgear area, transformer vault",Failure of equipment or heat source,1 - Present,Lookingglass RFPD,1
2/25/24 5:41,"122 - Fire in motor home, camper, recreational vehicle","400 - Residential, other",Minor,1 - Exposed to fire products,"Asleep, no known impairment",Sleeping,"Function areas, other",Unintentional,U - Undetermined,Seal Rock RFPD,1
2/25/24 11:50,111 - Building fire,429 - Multifamily dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Cooking area, kitchen",Cause under investigation,1 - Present,Medford Fire Department,1
3/1/24 0:00,NNN - Not Reported,U - Unknown,Fatality,N - Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,N - Not Reported,Albany Fire Department,1
3/2/24 4:37,111 - Building fire,429 - Multifamily dwelling,Life threatening,1 - Exposed to fire products,Not Reported,Fire control,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Salem Fire Department,1
3/2/24 4:37,111 - Building fire,429 - Multifamily dwelling,Life threatening,N - Not Reported,Not Reported,Fire control,Bedroom - < 5 persons; included are jail or prison,Cause undetermined after investigation,1 - Present,Salem Fire Department,1
3/2/24 12:14,111 - Building fire,"579 - Motor vehicle or boat sales, services, repair",Severe,7 - Struck by or contact with object,None,Not Reported,Undetermined,Cause under investigation,N - None present,Woodburn Fire District,1
3/9/24 15:56,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,U - Undetermined,Possibly impaired by alcohol,Undetermined,"Common room, den, family room, living room, lounge",Cause under investigation,U - Undetermined,Keizer Fire District,1
3/9/24 17:16,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Function areas, other",Cause under investigation,N - None present,Albany Fire Department,1
3/10/24 23:19,111 - Building fire,419 - 1 or 2 family dwelling,Fatality,5 - Caught or trapped,None,Undetermined,Undetermined,Cause under investigation,U - Undetermined,Rural Metro Fire Department,1
3/11/24 19:45,111 - Building fire,429 - Multifamily dwelling,Fatality,N - Not Reported,Not Reported,Not Reported,"Common room, den, family room, living room, lounge",Unintentional,1 - Present,Roseburg Fire Department,1
